JOB_ID_o,JOB_START_o,JOB_END_o,JOB_STATUS_o,GG_CHECKPOINT_o
4000,20130809040520000,20130809040744000,Y,
4001,,20130809041514,N,
8000,20130809040544000,20130809040750000,Y,
8001,,20130809040858,Y,
9000,20130809040814000,20130809041030000,Y,
9001,,20130809041203,Y,
5000,20130809041401000,20130809041631000,Y,
5001,,20130809042308,Y,
6000,20130809041436000,20130809041658000,Y,
6001,,20130809041856,Y,
11000,20130809041810000,20130809042031000,Y,
11001,,20130809042257,Y,
7000,20130809042132000,,N,
7001,,20130809042510,Y,
10000,20130809042537000,20130809042802000,Y,
10001,,20130809043225,Y,
1000,20130809214642000,20130809214857000,Y,
1001,,20130809220216,Y,
2000,20130809220827000,20130809221044000,Y,
2001,,20130809222208,Y,
3000,20130809221004000,20130809221226000,Y,
3001,,20130809222212,N,
4000,20130809222821000,20130809223032000,Y,
4001,,20130809224051,N,
8000,20130809222839000,20130809223042000,Y,
8001,,20130809223211,Y,
9000,20130809224003000,20130809224215000,Y,
9001,,20130809225248,Y,
5000,20130809225429000,20130809225646000,Y,
5001,,20130809231434,Y,
6000,20130809230133000,20130809230344000,Y,
6001,,20130809231431,Y,
7000,20130809233657000,,N,
7001,,20130809234052,Y,
11000,20130809233658000,20130809233913000,Y,
11001,,20130809234045,Y,
10000,20130810003804000,20130810004017000,Y,
10001,,20130810004940,Y,
3000,20130121214429000,20130121214503000,Y,
3001,,20130121214654,Y,
9000,20130807041825000,20130807042054000,Y,
9001,,20130807042455,Y,
6000,20130807041825000,20130807042053000,Y,
6001,,20130807042449,Y,
1000,20130807041824000,20130807042048000,Y,
1001,,20130807042435,Y,
2000,20130807041825000,20130807042047000,Y,
2001,,20130807042440,Y,
3000,20130807041826000,20130807095831000,Y,
3001,,20130807042533,N,
7000,20130807041825000,,N,
7001,,20130807044524,Y,
10000,20130807041826000,20130807042055000,Y,
10001,,20130807042356,Y,
8000,20130807041825000,20130807042041000,Y,
8001,,20130807042320,Y,
5000,20130807041826000,20130807042050000,Y,
5001,,20130807042538,Y,
11000,20130807041827000,20130807042054000,Y,
11001,,20130807042453,Y,
4000,20130807041828000,20130807042050000,Y,
4001,,20130807044630,N,
1000,20130809035808000,20130809040025000,Y,
1001,,20130809040244,Y,
2000,20130809035822000,20130809040040000,Y,
2001,,20130809040302,Y,
3000,20130809035839000,20130809040119000,Y,
3001,,20130809040533,N,
